url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,100,24
/KajaBraz/AdventOfCode2024/tree/main/day04,21,12
/KajaBraz/AdventOfCode2024/blob/main/read_data.py,15,9
/KajaBraz/AdventOfCode2024/tree/main,15,8
/KajaBraz/AdventOfCode2024/blob/main/day04/solution.py,12,9
/KajaBraz/AdventOfCode2024/blob/main/day13/solution.py,11,8
/KajaBraz/AdventOfCode2024/blob/main/day09/solution.py,11,7
/KajaBraz/AdventOfCode2024/blob/main/day06/solution.py,10,6
/KajaBraz/AdventOfCode2024/tree/main/day13,9,8
/KajaBraz/AdventOfCode2024/blob/main/day03/solution.py,9,7
