url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,20,9
/KajaBraz/AdventOfCode2024/blob/main/day24/solution.py,10,4
/KajaBraz/AdventOfCode2024/tree/main/day24,8,4
/KajaBraz/AdventOfCode2024/blob/main/day25/solution.py,3,3
/KajaBraz/AdventOfCode2024/tree/main/day25,3,3
/KajaBraz/AdventOfCode2024/blob/main/day24/input.txt,2,2
/KajaBraz/AdventOfCode2024/blob/main/day11/solution.py,2,1
/KajaBraz/AdventOfCode2024/blob/main/day12/solution.py,1,1
/KajaBraz/AdventOfCode2024/blob/main/day14/solution.py,1,1
/KajaBraz/AdventOfCode2024/blob/main/day21/solution.py,1,1
